,SIM,display_size,screen_to_body_ratio,OS
1175,Single,['2.4'],['25.6'],Windows
1176,Single,['2.0'],['24.8'],Windows
1177,Single,['2.8'],['37.0'],Windows
1178,Single,['2.2'],['27.2'],Windows
1179,Dual,['5.15'],['70.0'],Android
1180,Dual,['5.5'],['71.1'],Android
1181,Yes,['8.0'],['70.6'],Android
1182,Yes,['10.1'],['71.5'],Android
1183,Dual,['5.5'],['72.3'],Android
1184,Dual,['5.0'],['69.7'],Android
1185,Yes,['8.0'],['70.5'],Android
1186,No,['7.0'],['74.3'],Android
1187,Dual,['5.5'],['71.1'],Android
1188,Dual,['5.0'],['67.5'],Android
1189,Dual,['5.0'],['66.6'],Android
1190,Dual,['5.0'],['66.6'],Android
1191,Dual,['5.7'],['73.6'],Android
1192,No,['1.2'],['21.1'],Android
1193,Single,['1.2'],['42.0'],Android
1194,Dual,['5.5'],['71.6'],Android
1195,Dual,['5.1'],['71.2'],Android
1196,Dual,['5.2'],['70.7'],Android
1197,Dual,['5.2'],['69.5'],Android
1198,Dual,['5.09'],['69.9'],Android
1199,Dual,['5.0'],['68.7'],Android
1200,Dual,['5.5'],['73.2'],Android
1201,Dual,['5.5'],['73.2'],Android
1202,Dual,['5.9'],['77.5'],Android
1203,Dual,['5.7'],['73.5'],Android
1204,No,['1.04'],['22.5'],
1205,Dual,['5.0'],['68.8'],Android
1206,Single,['8.0'],['72.1'],Android
1207,Dual,['5.5'],['71.8'],Android
1208,Dual,['5.5'],['70.1'],Android
1209,Single,['8.4'],['76.4'],Android
1210,Dual,['5.5'],['72.6'],Android
1211,Dual,['5.0'],['70.6'],Android
1212,Single,['10.0'],['71.6'],Android
1213,Dual,['7.0'],['68.1'],Android
1214,Single,['7.0'],['67.2'],Android
1215,Dual,['5.5'],['72.6'],Android
1216,Dual,['6.6'],['74.6'],Android
1217,Dual,['5.2'],['72.5'],Android
1218,Dual,['5.0'],['65.9'],Android
1219,Single,['7.0'],['67.2'],Android
1220,Dual,['7.0'],[],Android
1221,Dual,['5.2'],['68.7'],Android
1222,Dual,['4.5'],['62.3'],Android
1223,Dual,['5.0'],['66.6'],Android
1224,Dual,['5.2'],['69.9'],Android
1225,Dual,['5.5'],['72.7'],Android
1226,Dual,['5.2'],['72.9'],Android
1227,Dual,['5.0'],['66.2'],Android
1228,Single,['10.1'],['71.4'],Android
1229,No,['1.4'],['71.5'],Android
1230,Dual,['5.0'],['67.6'],Android
1231,Single,['6.0'],['78.0'],Android
1232,Dual,['5.5'],['71.5'],Android
1233,Dual,['5.5'],['72.2'],Android
1234,Dual,['5.0'],['67.1'],Android
1235,Single,['5.7'],['71.4'],Android
1236,Dual,['5.5'],['73.9'],Android
1237,Dual,['5.2'],['73.9'],Android
1238,Dual,['5.0'],['66.6'],Android
1239,Dual,['5.5'],['71.7'],Android
