,SIM,display_size,screen_to_body_ratio,OS
3485,Single,5.1,69.6,Android 4.4.2
3486,Dual,3.3,50.5,Android 4.4.2
3487,Dual,4.0,59.6,Android 4.4.2
3488,Dual,5.0,65.8,Android 4.4.2
3489,Dual,5.0,66.0,Android 4.4.4
3490,Single,4.3,62.0,Android 4.4.4
3491,Single,5.6,77.2,Android 4.4.4
3492,Dual,5.7,74.2,Android 4.4.4
3493,Single,5.7,73.4,Android 4.4.4
3494,Single,5.7,73.4,Android 4.4.4
3495,Single,8.0,69.0,Android 4.4.2
3496,No,8.0,69.0,Android 4.4.2
3497,Single,6.0,71.5,Android 4.4.3
3498,Single,2.0,53.4,Tizen
3499,No,1.63,38.5,Tizen
3500,No,1.63,39.8,Tizen
3501,No,1.63,41.1,Tizen
3502,Single,5.1,69.6,Android 4.4.2
3503,Single,4.7,70.2,Android 4.4.4
3504,Single,4.7,70.2,Android 4.4.4
3505,Dual,4.5,65.7,Android 4.4.4
3506,Single,4.5,63.6,Android 4.4.2
3507,Dual,4.0,59.6,Android 4.4.2
3508,Dual,2.0,24.1,
3509,Dual,4.0,59.6,Android 4.4.2
3510,Dual,4.3,61.6,Android 4.4.2
3511,Single,4.5,65.7,Android 4.4.2
3512,Single,4.0,59.6,Android 4.4.2
3513,Single,4.0,59.6,Android 4.4.2
3514,Dual,3.5,55.5,Android 4.4.2
3515,Dual,3.5,55.5,Android 4.4.2
3516,Dual,4.5,65.1,Android 4.4.2
3517,Single,5.1,67.3,Android 4.4.2
3518,Single,5.1,69.4,Android 4.4.2
3519,Single,8.4,76.5,Android 4.4.2
3520,No,8.4,76.5,Android 4.4.2
3521,Single,10.5,72.9,Android 4.4.2
3522,No,10.5,72.9,Android 4.4.2
3523,Yes,4.7,67.5,Android 4.3
3524,Single,4.8,65.8,Android 4.4.2
3525,Single,7.0,70.7,Android 4.3
3526,Single,5.1,67.2,Android 4.4.2
3527,Single,4.8,65.2,Android 4.4.2
3528,Single,4.66,65.6,Android 4.2.2
3529,Dual,4.8,65.7,Android 4.3
3530,Single,4.0,59.9,Android 4.4.2
3531,Single,5.0,71.6,Windows
3532,No,7.0,70.5,Android 4.4.2
3533,Single,7.0,70.5,Android 4.4.2
3534,Single,7.0,70.5,Android 4.4.2
3535,No,8.0,71.3,Android 4.4.2
3536,Single,8.0,71.3,Android 4.4.2
3537,Single,8.0,71.3,Android 4.4.2
3538,No,10.1,68.9,Android 4.4.2
3539,Single,10.1,68.9,Android 4.4.2
3540,Single,10.1,68.9,Android 4.4.2
3541,Single,4.52,64.2,Android 4.2
3542,Single,4.0,59.4,Android 4.2.2
3543,Dual,5.1,69.6,Android 4.4.2
3544,Single,5.1,69.6,Android 4.4.2
3545,Single,5.1,69.7,Android 4.4.2
3546,Single,5.1,69.6,Android 4.4.2
3547,Single,4.5,63.4,Android 4.4.2
3548,Single,4.5,63.4,Android 4.2.2
3549,Single,2.4,30.2,
3550,Dual,1.77,22.3,
3551,Triple,3.14,47.2,Android 4.1.2
3552,Dual,5.5,72.6,Android 4.3
3553,Single,5.5,72.6,Android 4.3
3554,Single,7.0,61.3,Android 4.2
3555,No,7.0,61.3,Android 4.2
3556,Dual,5.01,64.5,Android 4.2
3557,Single,12.2,71.6,Android 4.4
3558,Single,12.2,71.6,Android 4.4
3559,No,12.2,71.6,Android 4.4
3560,Single,12.2,71.6,Android 4.4
3561,Single,12.2,71.6,Android 4.4
3562,No,12.2,71.7,Android 4.4.2
3563,Single,10.1,71.0,Android 4.4
3564,No,10.1,71.0,Android 4.4
3565,Single,8.4,72.7,Android 4.4
3566,No,8.4,72.7,Android 4.4
3567,No,4.8,67.3,Android 4.3
3568,Yes,4.7,66.9,Android 4.2
3569,Single,5.0,69.2,Android 4.2.2
3570,Single,5.0,71.9,Android 4.3
3571,Dual,4.5,63.3,Android 4.2.2
3572,Dual,4.0,59.4,Android 4.2.2
3573,Dual,5.25,68.7,Android 4.3
3574,Single,3.7,55.5,Android 4.2
3575,Single,4.5,64.2,Android 4.2.2
3576,Dual,2.4,34.7,
3577,Single,5.0,72.3,Android 4.2.2
3578,Single,4.0,59.1,Android 4.2.2
3579,Single,5.7,74.5,Android 4.3
